environment_type,rank_within_environment,condition_id,strain,design_axis,environment_objective_score,final_ethanol_g_L,final_co2_g_L,retained_co2_4h_g_L,co2_4h_g_L,final_fermentable_sugar_g_L,final_carbohydrate_g_L,total_carbohydrate_consumed_g_L,total_carbohydrate_conversion_fraction,ethanol_yield_per_total_carbohydrate_consumed_g_g,final_pH,max_stress,mean_activity,dominant_failure_mode
malt_mash_wort,1,MALT_stress_tolerant_standard_mash_62C_robust25_heavy_grist,stress_tolerant,malt_mash_x_ferment_x_grist:standard_mash_62C_robust25_heavy_grist,62.52852079616236,38.05024541935798,39.88507797814654,0.005359775032912552,0.3296142976951627,59.41006413844929,144.0392175810438,97.9607824189562,0.4047966215659347,0.3884232493838774,5.186863730510176,0.4152065944866128,0.1627977535728488,nitrogen_limited
malt_mash_wort,2,MALT_ale_like_standard_mash_62C_ale22_heavy_grist,ale_like,malt_mash_x_ferment_x_grist:standard_mash_62C_ale22_heavy_grist,53.45073666601777,25.333862997090417,26.566601470800546,0.004344883475516593,0.2680698618933515,86.68302638749141,171.3224892377061,70.6775107622939,0.2920558295962558,0.3584430566930196,5.257978425879167,0.45591631514897035,0.1406440597401843,nitrogen_limited
malt_mash_wort,3,MALT_ale_like_standard_mash_62C_ale18_heavy_grist,ale_like,malt_mash_x_ferment_x_grist:standard_mash_62C_ale18_heavy_grist,53.43737264214223,25.306841956173955,26.551245452511363,0.004343642206670474,0.26798926562457576,86.69195266366718,171.3325271998989,70.66747280010111,0.29201435041364093,0.35811160288355104,5.257995050093858,0.45591631514897035,0.14043102997142543,nitrogen_limited
malt_mash_wort,4,MALT_stress_tolerant_standard_mash_62C_robust25_standard_grist,stress_tolerant,malt_mash_x_ferment_x_grist:standard_mash_62C_robust25_standard_grist,52.30710466047055,37.922755590726965,39.75179755983367,0.005747923940326978,0.35297428700210237,19.712814881519197,78.98612655626091,93.01387344373909,0.5407783339752272,0.40771074450162686,5.187574146971583,0.40789237569187636,0.16215417873825785,balanced_or_slow
malt_mash_wort,5,MALT_ale_like_standard_mash_62C_ale22_standard_grist,ale_like,malt_mash_x_ferment_x_grist:standard_mash_62C_ale22_standard_grist,42.416590996816744,24.05853633228972,25.229520614763512,0.004658088602398034,0.28713653976313697,49.45718309034448,108.7377561898637,63.2622438101363,0.3678037430821878,0.38029849849294944,5.26512475769257,0.4486020963542339,0.13690284018332696,nitrogen_limited
rice_wine,1,RICE_stress_tolerant_strong_koji_25C,stress_tolerant,rice_temp_x_saccharification_x_strain:25.0_strong_koji,83.05888292043248,87.81601118639563,92.16727803507382,0.02231427242501245,0.9799748253196447,6.6850414168915515,20.825400191893582,206.17459980810642,0.9082581489343895,0.42593030988360797,3.742522068345075,0.22670104419733775,0.19178949838264653,completed
rice_wine,2,RICE_stress_tolerant_strong_koji_30C,stress_tolerant,rice_temp_x_saccharification_x_strain:30.0_strong_koji,81.43486860367436,87.64041989510734,91.91272132992079,0.021301767905739524,0.9375648917768162,14.143380700463917,22.017833650242782,204.98216634975722,0.9030051381046573,0.42755143755075814,3.7448100858127207,0.2413280233185285,0.19288568051388086,balanced_or_slow
rice_wine,3,RICE_rice_wine_like_strong_koji_25C,rice_wine_like,rice_temp_x_saccharification_x_strain:25.0_strong_koji,81.18546919228864,86.41907908006425,90.70188462612661,0.028862860957554855,1.2441880723650645,8.13905293633266,23.35932056861806,203.64067943138195,0.8970955041030042,0.42437041224459143,3.752970411814938,0.2561989789090716,0.16774789189202158,completed
rice_wine,4,RICE_stress_tolerant_standard_nuruk_30C,stress_tolerant,rice_temp_x_saccharification_x_strain:30.0_standard_nuruk,80.07853256221419,84.90274234331496,89.04167668263402,0.021134852564555294,0.9325367721547911,5.246363724188581,27.27650992407861,199.7234900759214,0.8798391633300502,0.4251014355449159,3.7652754165229907,0.2263386992176658,0.19119504778546417,completed
rice_wine,5,RICE_stress_tolerant_standard_nuruk_25C,stress_tolerant,rice_temp_x_saccharification_x_strain:25.0_standard_nuruk,77.48375558830733,81.72524810715242,85.77496619252871,0.022147153679194755,0.9751044312441896,0.4828049130264939,34.093758469232434,192.90624153076757,0.849807231413073,0.4236526898178028,3.7881201465612846,0.1991325416310097,0.18647880462135544,completed
